iter	Passed	Remaining
1089	40637	33927
1090	40672	33887
1091	40709	33849
1092	40747	33812
1093	40784	33775
1094	40823	33739
1095	40855	33698
1096	40889	33658
1097	40924	33619
1098	40960	33581
1099	40994	33541
1100	41030	33502
1101	41060	33459
1102	41097	33421
1103	41134	33384
1104	41174	33349
1105	41208	33309
1106	41249	33275
1107	41286	33237
1108	41321	33198
1109	41353	33157
1110	41389	33119
1111	41422	33078
1112	41461	33042
1113	41496	33003
1114	41531	32964
1115	41561	32921
1116	41598	32883
1117	41641	32851
1118	41677	32812
1119	41712	32774
1120	41745	32733
1121	41785	32698
1122	41817	32657
1123	41855	32620
1124	41888	32579
1125	41924	32541
1126	41960	32503
1127	41996	32465
1128	42030	32425
1129	42065	32386
1130	42101	32348
1131	42137	32310
1132	42174	32272
1133	42211	32235
1134	42250	32199
1135	42292	32165
1136	42335	32133
1137	42400	32117
1138	42444	32085
1139	42484	32049
1140	42525	32015
1141	42562	31977
1142	42602	31942
1143	42637	31903
1144	42672	31864
1145	42707	31825
1146	42743	31787
1147	42779	31749
1148	42815	31710
1149	42849	31671
1150	42885	31633
1151	42923	31596
1152	42957	31556
1153	42990	31516
1154	43028	31479
1155	43062	31439
1156	43099	31402
1157	43136	31365
1158	43171	31326
1159	43207	31287
1160	43245	31251
1161	43282	31214
1162	43318	31176
1163	43355	31138
1164	43393	31101
1165	43431	31065
1166	43468	31027
1167	43500	30986
1168	43545	30954
1169	43585	30919
1170	43627	30885
1171	43667	30850
1172	43701	30810
1173	43738	30773
1174	43778	30737
1175	43813	30699
1176	43848	30660
1177	43884	30622
1178	43919	30583
1179	43955	30545
1180	43989	30505
1181	44028	30469
1182	44071	30436
1183	44106	30397
1184	44143	30360
1185	44180	30322
1186	44216	30284
1187	44255	30248
1188	44290	30209
1189	44325	30170
1190	44359	30131
1191	44397	30094
1192	44430	30054
1193	44463	30014
1194	44500	29977
1195	44534	29937
1196	44573	29901
1197	44610	29864
1198	44646	29826
1199	44684	29789
1200	44722	29752
1201	44759	29715
1202	44799	29680
1203	44837	29643
1204	44873	29605
1205	44907	29565
1206	44945	29529
1207	44983	29492
1208	45017	29452
1209	45053	29414
1210	45088	29376
1211	45127	29340
1212	45166	29304
1213	45205	29267
1214	45241	29229
1215	45277	29191
1216	45313	29154
1217	45351	29116
1218	45383	29076
1219	45418	29038
1220	45455	29000
1221	45492	28963
1222	45530	28926
1223	45570	28891
1224	45610	28855
1225	45647	28818
1226	45684	28780
1227	45723	28744
1228	45771	28713
1229	45819	28683
1230	45863	28650
1231	45902	28614
1232	45939	28576
1233	45983	28544
1234	46025	28509
1235	46063	28472
1236	46105	28438
1237	46147	28404
1238	46188	28369
1239	46227	28332
1240	46268	28298
1241	46312	28264
1242	46349	28227
1243	46385	28189
1244	46427	28154
1245	46469	28120
1246	46511	28085
1247	46553	28051
1248	46588	28012
1249	46636	27981
1250	46677	27946
1251	46720	27912
1252	46766	27880
1253	46806	27845
1254	46848	27810
1255	46890	27775
1256	46937	27744
1257	46976	27708
1258	47015	27671
1259	47058	27637
1260	47099	27602
1261	47145	27570
1262	47188	27536
1263	47229	27500
1264	47272	27466
1265	47313	27431
1266	47354	27396
1267	47396	27361
1268	47436	27325
1269	47480	27291
1270	47520	27256
1271	47565	27222
1272	47605	27186
1273	47648	27152
1274	47691	27118
1275	47736	27085
1276	47782	27052
1277	47824	27018
1278	47866	26983
1279	47911	26949
1280	47950	26913
1281	47992	26878
1282	48033	26843
1283	48070	26805
1284	48106	26767
1285	48141	26728
1286	48177	26690
1287	48213	26651
1288	48251	26615
1289	48288	26577
1290	48324	26539
1291	48365	26503
1292	48401	26465
1293	48437	26427
1294	48473	26388
1295	48509	26351
1296	48548	26314
1297	48585	26276
1298	48620	26238
1299	48657	26199
1300	48693	26161
1301	48735	26127
1302	48770	26088
1303	48807	26050
1304	48843	26012
1305	48879	25974
1306	48919	25938
1307	48956	25900
1308	48993	25862
1309	49028	25824
1310	49065	25786
1311	49106	25750
1312	49144	25713
1313	49180	25675
1314	49218	25638
1315	49255	25600
1316	49289	25561
1317	49325	25523
1318	49359	25484
1319	49394	25445
1320	49430	25407
1321	49468	25370
1322	49505	25332
1323	49542	25295
1324	49576	25255
1325	49608	25215
1326	49644	25177
1327	49680	25139
1328	49720	25103
1329	49760	25067
1330	49797	25029
1331	49830	24990
1332	49863	24950
1333	49894	24909
1334	49928	24870
1335	49967	24833
1336	50002	24795
1337	50065	24770
1338	50106	24735
1339	50141	24696
1340	50175	24657
1341	50218	24622
1342	50260	24587
1343	50299	24550
1344	50340	24515
1345	50382	24479
1346	50422	24443
1347	50459	24406
1348	50496	24368
1349	50535	24331
1350	50576	24296
1351	50612	24257
1352	50648	24219
1353	50686	24182
1354	50723	24144
1355	50761	24108
1356	50796	24069
1357	50832	24031
1358	50871	23994
1359	50909	23957
1360	50948	23920
1361	50982	23881
1362	51015	23842
1363	51051	23804
1364	51106	23774
1365	51165	23747
1366	51206	23711
1367	51243	23673
1368	51281	23636
1369	51320	23600
1370	51357	23562
1371	51394	23524
1372	51434	23488
1373	51467	23448
1374	51503	23410
1375	51539	23372
1376	51572	23333
1377	51607	23294
1378	51645	23257
1379	51681	23219
1380	51719	23181
1381	51759	23145
1382	51797	23108
1383	51834	23070
1384	51872	23033
1385	51907	22995
1386	51944	22957
1387	51980	22919
1388	52015	22880
1389	52053	22843
1390	52089	22805
1391	52124	22766
1392	52162	22729
1393	52199	22692
1394	52237	22655
1395	52275	22617
1396	52311	22579
1397	52347	22541
1398	52385	22504
1399	52431	22470
1400	52472	22434
1401	52511	22397
1402	52548	22360
1403	52588	22324
1404	52630	22288
1405	52675	22253
1406	52716	22218
1407	52761	22183
1408	52804	22148
1409	52845	22112
1410	52891	22078
1411	52935	22043
1412	52976	22008
1413	53018	21972
1414	53057	21935
1415	53099	21899
1416	53140	21863
1417	53181	21827
1418	53228	21794
1419	53297	21769
1420	53344	21735
1421	53389	21701
1422	53433	21666
1423	53477	21631
1424	53530	21599
1425	53575	21565
1426	53620	21530
1427	53672	21499
1428	53715	21463
1429	53761	21429
1430	53805	21394
1431	53849	21359
1432	53900	21326
1433	53940	21290
1434	53982	21254
1435	54025	21219
1436	54065	21182
1437	54105	21145
1438	54144	21108
1439	54190	21074
1440	54232	21038
1441	54272	21001
1442	54307	20962
1443	54344	20925
1444	54381	20886
1445	54418	20849
1446	54454	20810
1447	54489	20772
1448	54525	20734
1449	54564	20696
1450	54601	20659
1451	54640	20621
1452	54685	20587
1453	54730	20552
1454	54770	20515
1455	54804	20476
1456	54838	20437
1457	54875	20399
1458	54911	20361
1459	54944	20321
1460	54979	20283
1461	55016	20245
1462	55052	20207
1463	55087	20168
1464	55123	20130
1465	55155	20090
1466	55194	20053
1467	55235	20017
1468	55270	19978
1469	55304	19939
1470	55339	19901
1471	55376	19863
1472	55413	19825
1473	55449	19787
1474	55485	19749
1475	55518	19709
1476	55553	19671
1477	55584	19631
1478	55618	19592
1479	55656	19555
1480	55693	19517
1481	55732	19480
1482	55770	19442
1483	55802	19402
1484	55836	19364
1485	55869	19324
1486	55898	19284
1487	55938	19247
1488	55973	19209
1489	56007	19170
1490	56041	19131
1491	56074	19092
1492	56108	19053
1493	56147	19016
1494	56184	18978
1495	56221	18940
1496	56253	18901
1497	56288	18862
1498	56321	18824
1499	56358	18786
1500	56394	18748
1501	56429	18709
1502	56464	18671
1503	56501	18633
1504	56536	18595
1505	56571	18556
1506	56611	18519
1507	56646	18481
1508	56682	18443
1509	56719	18405
1510	56755	18367
1511	56793	18330
1512	56833	18293
1513	56874	18257
1514	56914	18220
1515	56951	18182
1516	56988	18144
1517	57026	18107
1518	57064	18069
1519	57099	18031
1520	57137	17993
1521	57174	17956
1522	57209	17917
1523	57243	17879
1524	57277	17840
1525	57312	17802
1526	57350	17764
1527	57385	17726
1528	57421	17688
1529	57454	17649
1530	57492	17611
1531	57529	17574
1532	57570	17537
1533	57606	17499
1534	57650	17464
1535	57694	17428
1536	57736	17392
1537	57770	17353
1538	57807	17315
1539	57842	17277
1540	57878	17239
1541	57922	17203
1542	57962	17167
1543	57995	17128
1544	58031	17090
1545	58068	17052
1546	58101	17013
1547	58145	16977
1548	58201	16945
1549	58243	16909
1550	58280	16871
1551	58312	16832
1552	58349	16794
1553	58387	16757
1554	58422	16718
1555	58462	16682
1556	58496	16643
1557	58534	16606
1558	58570	16568
1559	58607	16530
1560	58643	16492
1561	58682	16455
1562	58718	16417
1563	58754	16379
1564	58787	16340
1565	58824	16302
1566	58858	16263
1567	58897	16226
1568	58933	16188
1569	58974	16152
1570	59005	16112
1571	59044	16075
1572	59080	16037
1573	59118	16000
1574	59153	15961
1575	59194	15925
1576	59229	15887
1577	59271	15850
1578	59312	15814
1579	59355	15778
1580	59398	15741
1581	59438	15705
1582	59479	15668
1583	59521	15631
1584	59566	15596
1585	59609	15560
1586	59654	15524
1587	59697	15488
1588	59740	15452
1589	59778	15414
1590	59818	15377
1591	59856	15340
1592	59897	15303
1593	59941	15267
1594	59980	15230
1595	60021	15193
1596	60066	15157
1597	60103	15120
1598	60152	15085
1599	60200	15050
1600	60245	15014
1601	60282	14976
1602	60322	14939
1603	60364	14902
1604	60404	14866
1605	60448	14829
1606	60486	14792
1607	60527	14755
1608	60569	14718
1609	60609	14681
1610	60651	14645
1611	60693	14608
1612	60734	14571
1613	60775	14534
1614	60816	14497
1615	60858	14461
1616	60899	14424
1617	60940	14387
1618	60983	14351
1619	61023	14314
1620	61065	14277
1621	61106	14240
1622	61153	14205
1623	61196	14168
1624	61239	14132
1625	61286	14096
1626	61335	14061
1627	61373	14023
1628	61414	13986
1629	61453	13949
1630	61498	13913
1631	61538	13876
1632	61578	13839
1633	61619	13802
1634	61662	13765
1635	61705	13729
1636	61755	13694
1637	61789	13655
1638	61826	13617
1639	61861	13579
1640	61899	13541
1641	61940	13504
1642	61974	13466
1643	62011	13428
1644	62048	13390
1645	62080	13351
1646	62119	13313
1647	62154	13275
1648	62186	13236
1649	62223	13198
1650	62259	13160
1651	62293	13122
1652	62332	13084
1653	62372	13047
1654	62412	13010
1655	62449	12972
1656	62476	12932
1657	62512	12894
1658	62545	12856
1659	62581	12817
1660	62621	12780
1661	62659	12743
1662	62696	12705
1663	62736	12668
